UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;ANO;municipio_chave;total_furtos;total_gasto_saude;taxa_furtos_100k;gasto_saude_per_capita;Nota_Saude;Nota_Seguranca;Nota_IQV_ES;Cluster_ML;Perfil_Municipio;total_roubos;total_homicidios;total_violencia;taxa_roubos_100k;taxa_homicidios_100k;taxa_violencia_100k;total_despesas;total_receitas;despesas_per_capita;receitas_per_capita;Cluster;IQV_ES_Score
ES;32;102;Afonso Cláudio;32.456;2025;afonso claudio;28;48118777.63;86270.6433325117;1482584.9651836331;31.498734585573242;90.6012482266557;61.04999140611447;2;Perfil C (Diferenciado/Alta Complexidade);7.0;7.0;187;21567.660833127924;21567.660833127924;576164.6536849889;181192618.04;187344416.85;5582715.61621888;5772258.345144195;1;92.0303142017549
ES;32;136;Águia Branca;10.143;2025;aguia branca;12;20897586.52;118308.19284235431;2060296.4132899535;43.7726885229749;86.23886024010623;65.00577438154056;2;Perfil C (Diferenciado/Alta Complexidade);2.0;3.0;41;19718.032140392388;29577.04821058858;404219.65887804393;97761375.5;110374811.73;9638309.720989844;10881870.425909493;0;84.34499364360941
ES;32;169;Água Doce do Norte;12.585;2025;agua doce do norte;13;16052188.3;103297.57647993643;1275501.6527612237;27.09907962597577;88.28277850139513;57.690929063685445;2;Perfil C (Diferenciado/Alta Complexidade);6.0;2.0;56;47675.80452920143;15891.934843067143;444974.17560588;84586499.74;87060110.24;6721215.712355979;6917767.996821612;0;91.80802267686256
ES;32;201;Alegre;30.702;2025;alegre;48;41142013.03;156341.60641000586;1340043.4183440818;28.470322415779002;81.06004634911193;54.76518438244547;2;Perfil C (Diferenciado/Alta Complexidade);5.0;4.0;209;16285.584001042278;13028.46720083382;680737.4112435671;203096443.77;206500764.66;6615088.390658589;6725971.098299785;1;86.7127470898807
ES;32;300;Alfredo Chaves;14.376;2025;alfredo chaves;13;25965851.61;90428.49193099611;1806194.4636894825;38.37408402063491;90.03509541367768;64.2045897171563;2;Perfil C (Diferenciado/Alta Complexidade);5.0;0.0;65;34780.189204229275;0.0;452142.4596549806;120454168.77;125524473.62;8378837.560517529;8731529.884529773;0;86.50087507265722
ES;32;359;Alto Rio Novo;7.76;2025;alto rio novo;11;12528936.66;141752.57731958764;1614553.6932989692;34.30251854272795;83.04655924454761;58.67453889363778;2;Perfil C (Diferenciado/Alta Complexidade);1.0;2.0;44;12886.597938144332;25773.195876288664;567010.3092783506;59716274.16;67113935.08;7695396.154639175;8648702.974226804;1;85.79036144081009
ES;32;409;Anchieta;33.017;2025;anchieta;61;90617601.81;184753.308901475;2744574.0621498013;58.3107288717159;77.19137126245698;67.75105006708644;1;Perfil B (Alerta/Ponto de Atenção);19.0;2.0;220;57546.11260865614;6057.485537753278;666323.4091528606;435772646.33;479960152.37;13198432.514462246;14536758.408395674;1;69.19263821712617
ES;32;508;Apiacá;7.462;2025;apiaca;6;17922143.37;80407.39748056821;2401788.176092201;51.02796134191598;91.39961619355797;71.21378876773699;1;Perfil B (Alerta/Ponto de Atenção);1.0;0.0;22;13401.232913428035;0.0;294827.1240954168;71417512.15;79427529.83;9570827.144197267;10644268.26990083;0;85.46585691252734
ES;32;607;Aracruz;103.363;2025;aracruz;154;205069629.07;148989.48366436732;1983975.2045703006;42.15118179441266;82.06114700855397;62.10616440148331;2;Perfil C (Diferenciado/Alta Complexidade);52.0;16.0;837;50308.13734121494;15479.426874219982;809767.5183576328;931709623.55;1151608044.34;9013956.866093282;11141395.31882782;1;75.65683824310646
ES;32;706;Atílio Vivácqua;11.046;2025;atilio vivacqua;19;26102348.53;172007.96668477278;2363058.8928118777;50.205125927161;78.92683881916017;64.56598237316058;1;Perfil B (Alerta/Ponto de Atenção);1.0;2.0;34;9053.050878145936;18106.10175629187;307803.7298569618;93337503.36;98472808.44;8449891.667571973;8914793.449212385;0;89.36372352001253
ES;32;805;Baixo Guandu;32.829;2025;baixo guandu;51;34519702.46;155350.4523439642;1051500.272929422;22.339986436837588;81.19500668960836;51.76749656322298;0;Perfil A (Padrão/Baixo Orçamento);5.0;8.0;192;15230.436504310213;24368.698406896343;584848.7617655122;204201834.68;254893847.33;6220166.1543147825;7764289.114197813;1;87.87813461890649
ES;32;904;Barra de São Francisco;45.415;2025;barra de sao francisco;107;45229908.83;235604.97632940658;995924.4485302212;21.159232427297212;70.26716181205987;45.71319711967854;0;Perfil A (Padrão/Baixo Orçamento);9.0;11.0;324;19817.240999669713;24221.07233292965;713420.6759881097;233620380.79;273334635.24;5144123.765055599;6018598.155675438;1;88.59097998185474
ES;32;1001;Boa Esperança;14.054;2025;boa esperanca;19;22285131.94;135192.8276647218;1585678.948342109;33.68905088388818;83.93976654432461;58.81440871410639;2;Perfil C (Diferenciado/Alta Complexidade);4.0;0.0;98;28461.647929415114;0.0;697310.3742706702;121875235.02;131089609.11;8671925.076134907;9327565.75423367;1;80.0984112146814
ES;32;1100;Bom Jesus do Norte;10.82;2025;bom jesus do norte;15;18267667.87;138632.16266173753;1688324.2024029575;35.86983356417856;83.4714500250449;59.67064179461173;2;Perfil C (Diferenciado/Alta Complexidade);6.0;0.0;67;55452.86506469501;0.0;619223.6598890943;74425311.64;78660364.6;6878494.6062846575;7269904.306839186;1;86.64624511991435
ES;32;1159;Brejetuba;13.718;2025;brejetuba;8;20502504.97;58317.5389998542;1494569.5414783496;31.753356746658675;94.40747836576436;63.080417556211515;2;Perfil C (Diferenciado/Alta Complexidade);2.0;4.0;64;14579.38474996355;29158.7694999271;466540.3119988336;98311758.57;105003842.74;7166624.768187782;7654457.117655635;0;90.4487118778744
ES;32;1209;Cachoeiro de Itapemirim;198.342;2025;cachoeiro de itapemirim;466;147190720.1;234947.71657036836;742105.6563914854;15.766643837665475;70.35665748575333;43.0616506617094;0;Perfil A (Padrão/Baixo Orçamento);157.0;10.0;1163;79156.20493894385;5041.796492926359;586360.9321273356;909846507.96;1140280934.09;4587260.9329340225;5749064.414445754;1;91.57587731228632
ES;32;1308;Cariacica;376.2;2025;cariacica;1465;247480931.0;389420.5209994684;657844.048378522;13.976436808130947;49.32289190130737;31.64966435471916;0;Perfil A (Padrão/Baixo Orçamento);1734.0;80.0;1744;460925.0398724083;21265.28442317916;463583.2004253057;1652504246.88;1852327688.6299999;4392621.602551835;4923784.392955874;3;99.68357143594525
ES;32;1407;Castelo;39.575;2025;castelo;91;65138647.14;229943.145925458;1645954.4444725204;34.969653277148254;71.03810407555846;53.00387867635336;2;Perfil C (Diferenciado/Alta Complexidade);13.0;0.0;203;32849.020846494;0.0;512950.0947567909;202886335.44;216069877.67;5126628.817182564;5459756.858370182;1;92.3599997997913
